Gender,Location,Product,Rating,Review
Female,California,Laptop,5,"Excellent product, exceeded my expectations!"
Male,New York,Headphones,4,"Outstanding performance, very smooth operation!"
Female,Tokyo,Monitor,3,It’s functional but could be improved.
Female,Tokyo,Headphones,4,Amazing battery life and great display.
Female,Florida,Camera,4,Amazing battery life and great display.
Male,Berlin,Smartphone,2,"Poor build quality, stopped working after a week."
Male,Texas,Monitor,5,"Value for money, works perfectly!"
Female,Florida,Tablet,1,"Disappointed, very slow performance."
Male,Tokyo,Keyboard,3,It’s functional but could be improved.
Female,New York,Headphones,2,"Disappointed, very slow performance."
Female,New York,Camera,4,"Value for money, works perfectly!"
Male,Tokyo,Smartwatch,2,"Battery drains too quickly, not worth the price."
Female,Berlin,Tablet,4,Highly recommend for anyone looking for quality!
Male,Texas,Camera,4,Amazing battery life and great display.
Male,Washington,Camera,2,"Poor build quality, stopped working after a week."
Male,California,Smartwatch,2,"Battery drains too quickly, not worth the price."
Male,Texas,Headphones,2,"Battery drains too quickly, not worth the price."
Male,California,Headphones,5,"Excellent product, exceeded my expectations!"
Female,Delhi,Tablet,4,"Outstanding performance, very smooth operation!"
Male,Sydney,Smartphone,4,"Value for money, works perfectly!"
Female,Berlin,Monitor,1,"Poor build quality, stopped working after a week."
